,Store,Location,Product,Price
466,Baba Gadget,Jakarta Barat,"Acer Swift SF514-54T Touchscreen, i5 Gen 10, Ram 8GB, SSD 256GB, MULUS",Rp6.500.000
467,Cuma Toko Aja,Bandung,"Laptop ACER SWIFT SF314-56G, Core i5 Gen 8, RAM 8GB Second Like New",Rp6.500.000
468,Pantai StoreLaptop,Bandung,ACER SWIFT SF314 I5-8265U 8/256 ssd Full Hd,Rp6.500.000
469,Nicocyop,Kab. Sukoharjo,acer swift 3 sf314-42,Rp6.500.000
470,Aldystoreee,Palembang,laptop acer swift 3,Rp6.500.000
471,Grosir Tech,Jakarta Utara,Laptop Acer Swift 1 SF1144 Pentium N6000 4GB 512ssd W10 OHS 14 IPS - S,Rp6.539.000
472,zona gadget,Surabaya,"LAPTOP ACER SWIFT P2VU|INTEL PENTIUM|512GB SSD|RAM 4GB|WIN10|14"" RESMI",Rp6.546.500
473,Cicak-Elektronic,Jakarta Barat,LAPTOP ACER SWIFT SF314-41 AMD ATHLON 8GB/256'GB/W10,Rp6.550.000
474,Unicom Medan,Medan,Acer Swift 1 Pentium Silver N6000 4GB 512 SSD OHS FHD,Rp6.550.000
475,BestComputers,Pontianak,"Laptop Acer Swift 1 SF 114-34 SSD 512GB, Ram 4GB",Rp6.550.000
476,GudangLaptop Semarang,Semarang,Laptop ACER Swift 3 SF314 - 41 - R24M,Rp6.583.000
477,Prisma Computer,Jakarta Barat,"Laptop ACER SWIFT 1 SF114-34 - PENTIUM N6000 4GB 512GB 14"" FHD IPS",Rp6.590.000
478,loky komputer,Jakarta Selatan,ACER SWIFT 3 SF314-39R8-i3-7020U-4GB-1TB-MX150 2GB-FHD-W10,Rp6.590.000
479,ASEAN NOTEBOOK 03,Bekasi,acer swift 3,Rp6.599.000
480,ALIENWARE OFFICIAL,Jakarta Utara,Acer Swift 1 Fresh SF114 | Pentium N6000 4GB 512GB SSD 14 FHD IPS OHS,Rp6.599.000
481,Acer Official Store,Jakarta Pusat,Acer Swift 1 Fresh SF114-34 Intel N6000 512 SSD 4GB Win 10 OHS,Rp6.599.000
482,permata_nb,Bandung,Laptop Acer Swift 3 AMD Ryzen 5 3200U 8GB SSD 512GB Vega 8 Radeon,Rp6.599.000
483,AMP TECH STORE,Jakarta Pusat,ACER SWIFT 1 FRESH SF114-34-P008 PENTIUM N6000 4GB 512GB SSD UMA FHD,Rp6.599.000
484,gaya notebook,Jakarta Pusat,ACER SWIFT 3 ( core i3 ),Rp6.599.000
485,Krush Workshop,Tangerang,ACER SWIFT 1 SF114-34-P008 - N6000 4GB 512GB 14FHD W10 OHS - SILVER,Rp6.599.000
486,sam komputer,Palembang,Acer notebook Swift 3 (Acer Day Edition Core SF314-54G) Core I3 7020U,Rp6.599.000
487,Eureka47,Tangerang Selatan,"Acer Swift 3 SF314 42 AMD Ryzen 5 Not Dell, Lenovo, HP, Asus Zenbook",Rp6.600.000
488,DissantsStore,Jakarta Selatan,ACER SWIFT SWIFT 3 SF314-57 I7 1065G7 16GB RAM 512GB SSD,Rp6.600.000
489,geniuscomputercenter mks,Makassar,Acer Swift 3 SF314-41(R0V8-R5NY),Rp6.600.000
490,kedai tunggal,Jakarta Pusat,ACER SWIFT 1 SF114-34 PENTIUM N6000/FHD/4G LPDDR4X 512GB SSD WIN10 HOM,Rp6.600.000
491,java solution computer,Malang,Acer Swift SF313-51 Core i7 8550U Ram8gb Ssd512gb FHD Scu9280,Rp6.600.000
492,Bedak52,Malang,ACER SWIFT 3 AIR SF313-51 Core i7 8550U FHD 8GB SSD 512GB BACKLIGHT,Rp6.600.000
493,shooting stars,Jakarta Pusat,ACER SWIFT 1 SF11434P008 SILVER Intel N6000 Ram 4GB SSD 512 GB,Rp6.600.000
494,Satta Teknologi,Palembang,Laptop Acer Swift 1 Fresh SF114-34-P008,Rp6.600.000
